"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,22.091846,0.030520,"ns/op",1
"com.lineate.school.SearchBenchmark.baseline:CPI","avgt",1,1,0.811265,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-load-misses","avgt",1,1,0.006901,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-loads","avgt",1,1,15.258909,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-store-misses","avgt",1,1,0.002242,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-dcache-stores","avgt",1,1,5.142555,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:L1-icache-load-misses","avgt",1,1,0.006615,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:LLC-load-misses","avgt",1,1,0.000358,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:LLC-loads","avgt",1,1,0.002161,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:LLC-store-misses","avgt",1,1,0.000245,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:LLC-stores","avgt",1,1,0.000900,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:branch-misses","avgt",1,1,0.003181,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:branches","avgt",1,1,7.127837,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:cycles","avgt",1,1,46.887027,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:dTLB-load-misses","avgt",1,1,0.000018,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:dTLB-loads","avgt",1,1,15.138019,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:dTLB-store-misses","avgt",1,1,0.000026,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:dTLB-stores","avgt",1,1,5.095090,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:iTLB-load-misses","avgt",1,1,0.000148,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:iTLB-loads","avgt",1,1,0.000095,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:instructions","avgt",1,1,57.794963,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline:stalled-cycles-frontend","avgt",1,1,29.581676,NaN,"#/op",1
"com.lineate.school.SearchBenchmark.baseline","avgt",1,5,19.799132,0.108584,"ns/op",10
